Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR,Silent SNR
54.0,-224.59898780823644,3968650.8922018334,1081.280571845541,7439.550161953648,2.8698679792052424,19082.062138769248,6.744189751132319,0.9999941664336773,-1.4351099238015406,-2.61985861760092
55.0,160.57294622276598,49.83202095395283,1102.8218517567898,8.221284267376738,22.94924322271505,8.22204881733877,53.930721573380374,0.31260225351345794,1.9452707051193705,3.8313403236830443
56.0,152.7333910469075,101.68723947126766,1089.752652474556,10.84607503605247,14.114218984530206,10.84555331852237,33.168414613645986,0.2862591029815298,1.6900178059861588,2.8976848376597917
57.0,106.77946487077281,40.31823417089546,1042.2630810806684,22.702395621360704,52.022537135786926,23.485376334017076,122.25296226909929,0.06740147336008628,1.2001057917110327,2.8501343469730003
58.0,133.07781961455171,44.624737722052366,1110.6429092720746,9.817483868016161,25.350763035756703,9.817769815575105,59.57429313402825,0.4194253730513947,1.4165051274426756,2.6791094494795553
59.0,237.72812845287646,70.71999595320753,1096.0618955420614,3.5669599323746475,10.369872379420432,3.5572968153553672,24.369200091638017,0.882824165981207,2.6819098181584793,4.701432335580927
60.0,213.64463512064088,68.28186473325337,1087.8948550425362,2.854118259527406,6.764043132556655,2.3689441012079517,15.895501361508138,0.9986507500081666,2.876782158502586,3.6321503683096954
61.0,161.70053960385667,25.822444417600426,1058.4871160655764,20.056241972701635,98.01280055392955,25.100041217061907,230.33008130173445,0.12188698324339786,1.688742932978996,4.139319801718088
62.0,237.01654743125516,301.36952732328484,1083.2351905122914,53.76579833698298,36.62210398277369,53.76347243441528,86.06194435951817,0.20015082046489707,3.3900038417026224,2.9619347529105724
63.0,61.2919216004323,20.261775098404474,993.2435672534889,324.42130290142256,210.65051474953162,383.80376226830657,495.0287096613993,0.03432838750255718,0.6169928582392062,0.03131981446687959
64.0,80.09886443799437,inf,1085.3206092903451,inf,0.1805587818618326,inf,0.4243131373753066,0.0,0.9856429847647251,1.2829974724704187
65.0,144.01565578245737,76.20470999004837,1084.9236512465488,10.157275215161558,16.61659029742429,10.157681305204047,39.04898719894708,0.43540408952627796,1.800457960510411,2.633192637272337
